Customer ID,First Name,Last Name,Age,Phone Number,Monthly Salary,Approved Limit
1,Aaron,Garcia,63,9629317944,50000,4500000
2,Abbey,Gonzalez,20,9278790909,33000,1400000
3,Abbie,Rodrigues,47,9775988997,193000,2500000
4,Abby,Fernandez,60,9612343117,117000,2600000
5,Abdul,Lopez,40,9175345317,219000,1000000
6,Abe,Martinez,28,9763703492,129000,1900000
7,Abel,Sanchez,65,9878469188,73000,2600000
8,Abigail,Perez,20,9312500421,268000,2200000
9,Abraham,Gomez,29,9419749629,163000,3100000
10,Abram,Martin,37,9748307760,89000,1000000
11,Ada,Jimenez,27,9114084983,85000,2400000
12,Adah,Ruiz,49,9377510369,289000,2600000
13,Adalberto,Hernandez,41,9275637027,229000,2700000
14,Adaline,Diaz,65,9519253076,253000,3900000
15,Adam,Moreno,55,9998047318,56000,2200000
16,Adan,Alvarez,35,9149386281,230000,4200000
17,Addie,Muñoz,51,9362421503,168000,2500000
18,Adela,Romero,68,9129350558,204000,2600000
19,Adelaida,Alonso,58,9556780762,45000,900000
20,Adelaide,Gutierrez,40,9981571392,269000,3600000
21,Adele,Navarro,66,9128707865,109000,4100000
22,Adelia,Torres,38,9755130143,150000,1200000
23,Adelina,Dominguez,64,9157807459,184000,2800000
24,Adeline,Vazquez,29,9707391933,142000,1300000
25,Adell,Ramos,26,9833643293,96000,4900000
26,Adella,Gil,23,9860014213,43000,2500000
27,Adelle,Ramirez,69,9613567377,202000,1400000
28,Adena,Serrano,43,9850668363,108000,2400000
29,Adina,Blanco,44,9376270084,278000,2200000
30,Adolfo,Molina,63,9191813781,287000,4600000
31,Adolph,Suarez,59,9365435418,86000,3000000
32,Adria,Morales,34,9261139969,169000,1100000
33,Adrian,Ortega,45,9957610104,138000,4000000
34,Adriana,Delgado,31,9528688972,112000,3700000
35,Adriane,Castro,37,9701341235,180000,2500000
36,Adrianna,Ortiz,65,9150167494,111000,1600000
37,Adrianne,Rubio,36,9563808129,282000,1300000
38,Adrien,Marin,34,9488986811,229000,4800000
39,Adriene,Sanz,21,9669953880,33000,3200000
40,Adrienne,Nuñez,36,9630748682,169000,4600000
41,Afton,Iglesias,40,9883645168,268000,1300000
42,Agatha,Medina,32,9832111103,229000,1600000
43,Agnes,Garrido,31,9545534969,172000,3100000
44,Agnus,Santos,47,9413223979,101000,1300000
45,Agripina,Castillo,27,9409905029,70000,2000000
46,Agueda,Cortes,60,9831635836,168000,1900000
47,Agustin,Lozano,64,9518442246,202000,4100000
48,Agustina,Guerrero,25,9891249533,192000,1500000
49,Ahmad,Cano,61,9625940161,57000,4700000
50,Ahmed,Prieto,57,9917217682,122000,5000000
